site,product,date,year,month,n_images,mean_cloud_pct
Burdur Lake,DSWX_HLS,2023-04,2023,4,59,60.728813559322035
Burdur Lake,DSWX_HLS,2023-05,2023,5,59,74.72881355932203
Burdur Lake,DSWX_HLS,2023-06,2023,6,64,38.515625
Burdur Lake,DSWX_HLS,2023-07,2023,7,60,9.233333333333333
Burdur Lake,DSWX_HLS,2023-08,2023,8,63,9.920634920634921
Burdur Lake,DSWX_HLS,2023-09,2023,9,61,29.950819672131146
Burdur Lake,DSWX_HLS,2023-10,2023,10,51,31.568627450980394
Burdur Lake,DSWX_HLS,2023-11,2023,11,54,48.98148148148148
Burdur Lake,DSWX_HLS,2023-12,2023,12,48,46.5
Burdur Lake,DSWX_HLS,2024-01,2024,1,64,63.484375
Burdur Lake,DSWX_HLS,2024-02,2024,2,54,58.629629629629626
Burdur Lake,DSWX_HLS,2024-03,2024,3,70,53.32857142857143
Burdur Lake,DSWX_HLS,2024-04,2024,4,66,48.10606060606061
Burdur Lake,DSWX_HLS,2024-05,2024,5,63,40.111111111111114
Burdur Lake,DSWX_HLS,2024-06,2024,6,61,10.573770491803279
Burdur Lake,DSWX_HLS,2024-07,2024,7,70,22.65714285714286
Burdur Lake,DSWX_HLS,2024-08,2024,8,65,14.215384615384615
Burdur Lake,DSWX_HLS,2024-09,2024,9,64,31.21875
Burdur Lake,DSWX_HLS,2024-10,2024,10,64,14.421875
Burdur Lake,DSWX_HLS,2024-11,2024,11,56,49.92857142857143
Burdur Lake,DSWX_HLS,2024-12,2024,12,57,75.19298245614036
Burdur Lake,DSWX_HLS,2025-01,2025,1,46,46.02173913043478
Burdur Lake,DSWX_HLS,2025-02,2025,2,60,52.36666666666667
Burdur Lake,DSWX_HLS,2025-03,2025,3,76,53.23684210526316
Burdur Lake,DSWX_HLS,2025-04,2025,4,77,48.54545454545455
Burdur Lake,DSWX_HLS,2025-05,2025,5,83,46.325301204819276
Burdur Lake,DSWX_HLS,2025-06,2025,6,96,10.135416666666666
Burdur Lake,DSWX_HLS,2025-07,2025,7,87,9.758620689655173
Burdur Lake,DSWX_HLS,2025-08,2025,8,87,11.160919540229886
Burdur Lake,DSWX_HLS,2025-09,2025,9,88,16.40909090909091
Burdur Lake,DSWX_HLS,2025-10,2025,10,103,48.592233009708735
Burdur Lake,DSWX_HLS,2025-11,2025,11,155,43.16774193548387
Burdur Lake,DSWX_HLS,2025-12,2025,12,200,59.55
Burdur Lake,DSWX_HLS,2026-01,2026,1,68,77.19117647058823
