site,date,both_land,both_water,hls_only,s1_only
Ataturk Reservoir,2024-09,8590028.164705886,989120.4235294118,55087.28235294118,18404.388235294115
Ataturk Reservoir,2024-10,8561263.058823531,990093.0352941176,81978.07843137257,18742.086274509806
Ataturk Reservoir,2024-11,8477227.156862747,999730.0235294118,154537.5568627451,20184.521568627453
Ataturk Reservoir,2024-12,7450410.623529415,1011517.2470588235,445461.9058823529,18571.14901960784
Ataturk Reservoir,2025-01,7604588.698039216,1008243.3764705884,303892.9254901961,16527.843137254902
Ataturk Reservoir,2025-02,6331697.678431375,1025688.4039215686,473545.125490196,14937.760784313727
Ataturk Reservoir,2025-03,8165343.082352944,1009636.3215686274,159053.90196078437,14027.584313725489
Ataturk Reservoir,2025-04,8525465.258823529,1008720.8274509803,97242.07843137256,10250.094117647059
Ataturk Reservoir,2025-05,8591755.23529412,999742.4588235294,44913.717647058824,16228.847058823529
Ataturk Reservoir,2025-06,8613128.498039218,991050.4235294117,24830.16862745098,23692.16862745098
Ataturk Reservoir,2025-07,8626915.505882354,971689.0588235293,23847.86274509804,30155.831372549022
Ataturk Reservoir,2025-08,8625227.654901963,969817.1803921567,28216.6431372549,29359.780392156863
Ataturk Reservoir,2025-09,8621012.505882356,960419.1411764707,32738.905882352945,34916.705882352944
Ataturk Reservoir,2025-10,8584393.125490202,953291.8901960783,65537.62352941177,49495.61960784314
Ataturk Reservoir,2025-11,8456204.250980396,963810.5529411766,186244.14901960784,46356.30588235294
Ataturk Reservoir,2025-12,8278703.2666666685,976296.7294117647,301798.5647058823,43299.03921568628
Ataturk Reservoir,2026-01,4343818.258823531,989128.9647058822,393146.850980392,33637.54509803921
Ataturk Reservoir,2026-02,6713016.725490195,1001755.4039215685,465494.62745098025,22256.643137254905
Ataturk Reservoir,2026-03,7094585.937254904,1013689.1254901962,244134.05098039214,19780.756862745096
Ataturk Reservoir,2026-04,8174822.780392159,1020989.3176470589,211720.80784313724,7733.725490196078
Ataturk Reservoir,2026-05,8457072.780392159,1030766.549019608,142043.1843137255,2131.745098039216
