site,date,both_land,both_water,hls_only,s1_only
Burdur Lake,2024-09,1966649.4235294117,166516.9725490196,1507.964705882353,37964.21960784313
Burdur Lake,2024-10,1977710.4784313722,164768.73333333334,3165.490196078431,23613.52549019608
Burdur Lake,2024-11,1938975.4901960783,166204.0431372549,8937.360784313725,29264.360784313725
Burdur Lake,2024-12,1886144.7647058824,167415.10196078432,53224.713725490205,12459.866666666667
Burdur Lake,2025-01,1843734.7215686273,172613.59215686275,51074.372549019616,12928.36862745098
Burdur Lake,2025-02,1879725.9254901956,176371.6274509804,12836.98431372549,20326.184313725484
Burdur Lake,2025-03,1966129.9803921564,182014.44705882354,7656.392156862745,16800.501960784313
Burdur Lake,2025-04,1946046.5372549016,181674.61960784314,6734.835294117647,34127.32549019606
Burdur Lake,2025-05,1950149.988235294,175690.62352941177,5191.886274509804,25576.082352941172
Burdur Lake,2025-06,1974849.901960784,165319.98039215687,2813.6509803921567,30518.047058823533
Burdur Lake,2025-07,1976444.701960784,165275.96470588236,1258.5019607843137,30698.41176470588
Burdur Lake,2025-08,1973626.4862745095,164234.96470588236,1026.0,34784.129411764705
Burdur Lake,2025-09,1975387.9137254898,164026.96470588236,1777.2509803921569,32484.45098039216
Burdur Lake,2025-10,1966898.811764706,165034.3411764706,8622.776470588236,32737.650980392158
Burdur Lake,2025-11,1961359.2156862742,166589.66274509806,14346.16862745098,30531.258823529413
Burdur Lake,2025-12,1928247.0941176466,164197.2117647059,33370.7568627451,21611.376470588235
Burdur Lake,2026-01,1511581.2823529409,165344.83529411763,52304.98039215687,12011.372549019608
Burdur Lake,2026-02,1784128.360784314,169477.3843137255,68457.40784313728,14342.858823529412
Burdur Lake,2026-03,1947374.396078431,179122.26666666666,16426.50980392157,18247.4
Burdur Lake,2026-04,1905790.4666666663,193286.80392156864,31358.811764705875,16514.992156862747
Burdur Lake,2026-05,1925353.576470588,186826.0392156863,18640.917647058825,18059.047058823533
