site,date,both_land,both_water,hls_only,s1_only
Kizilirmak Delta,2024-09,980992.1490196083,1635487.6196078435,54655.8156862745,13745.211764705882
Kizilirmak Delta,2024-10,912497.1058823535,1668588.098039216,95830.77254901962,7964.8196078431365
Kizilirmak Delta,2024-11,656389.9490196081,1371579.325490196,227585.85882352942,15438.976470588237
Kizilirmak Delta,2024-12,721881.8000000003,1683599.8901960787,260034.40000000005,17905.16470588236
Kizilirmak Delta,2025-01,712910.4352941179,1673161.3686274511,275966.60000000003,22478.39215686275
Kizilirmak Delta,2025-02,754050.741176471,1674224.4745098043,234155.0862745098,15826.894117647062
Kizilirmak Delta,2025-03,805039.3686274514,1669164.8862745098,202363.70196078432,8312.839215686276
Kizilirmak Delta,2025-04,820578.9058823534,1689323.9176470588,166054.39607843137,8816.576470588236
Kizilirmak Delta,2025-05,918789.215686275,1668576.482352941,86683.70980392158,10804.388235294118
Kizilirmak Delta,2025-06,748679.4784313729,1654645.6745098042,272722.3803921569,8833.262745098038
Kizilirmak Delta,2025-07,850637.6078431377,1651712.866666667,171120.37647058823,11407.945098039216
Kizilirmak Delta,2025-08,989266.5019607849,1637302.1215686274,49747.807843137256,8565.364705882354
Kizilirmak Delta,2025-09,987838.7137254906,1634473.2,53510.81176470588,9056.070588235294
Kizilirmak Delta,2025-10,959229.2509803926,1638030.0784313725,76545.87843137255,11076.588235294117
Kizilirmak Delta,2025-11,835350.4705882357,1645408.8078431375,195357.57647058825,8764.941176470587
Kizilirmak Delta,2025-12,654480.9843137257,1663233.431372549,351268.7764705883,15897.60392156863
Kizilirmak Delta,2026-01,737864.2705882357,1676523.5960784315,248023.4549019608,15060.415686274515
Kizilirmak Delta,2026-02,776667.5960784318,1690779.3568627452,205440.18823529413,11994.654901960785
Kizilirmak Delta,2026-03,814791.37254902,1680939.6745098042,174303.2039215686,14826.545098039222
Kizilirmak Delta,2026-04,910668.8666666673,1683246.1058823534,78627.27058823529,12338.55294117647
Kizilirmak Delta,2026-05,793341.1686274514,1680362.1686274512,201110.9450980392,10066.513725490197
