site,date,both_land,both_water,hls_only,s1_only
Tuz Lake,2024-09,8167020.647058825,1059486.3411764705,944880.368627451,315173.9725490196
Tuz Lake,2024-10,7732258.105882353,968301.3411764705,583487.9960784314,267808.9725490196
Tuz Lake,2024-11,7527139.215686274,260007.3411764705,59496.160784313724,248277.27058823532
Tuz Lake,2024-12,7786820.843137255,688382.3058823529,252140.89019607846,375264.4196078431
Tuz Lake,2025-01,7615880.654901961,1360242.070588235,52029.78039215686,310213.9529411765
Tuz Lake,2025-02,8074683.152941177,1316029.8313725488,130766.9137254902,260115.20392156864
Tuz Lake,2025-03,8076868.592156863,1389787.0901960784,441301.18823529413,263885.5882352941
Tuz Lake,2025-04,7917196.549019607,1492651.9529411765,600122.0,278843.9568627451
Tuz Lake,2025-05,7974477.270588234,1343573.9529411762,983761.0,225002.23529411765
Tuz Lake,2025-06,8235285.247058823,1195793.462745098,784579.2352941176,310158.5137254902
Tuz Lake,2025-07,8350669.823529412,966181.0901960784,951350.0,263047.5450980392
Tuz Lake,2025-08,8355630.639215685,1144942.968627451,701588.0,318554.85098039213
Tuz Lake,2025-09,8354873.015686275,1103852.4784313724,560144.0,274590.96470588236
Tuz Lake,2025-10,8333394.737254903,1346168.4784313724,506403.0,311762.2431372549
Tuz Lake,2025-11,8157137.94117647,844355.4784313724,170924.0,301709.41568627453
Tuz Lake,2025-12,8025373.301960784,971461.9686274509,188475.2705882353,363710.91764705884
Tuz Lake,2026-01,7143659.290196081,1346154.4784313724,503114.20392156864,296336.3803921569
Tuz Lake,2026-02,7808799.725490198,1668154.5803921567,312759.2941176471,347016.25882352935
Tuz Lake,2026-03,7616971.533333334,1517136.9529411765,526345.0,238021.05098039217
Tuz Lake,2026-04,7872019.592156862,1696883.7882352942,520118.0,273290.1019607843
Tuz Lake,2026-05,7976734.68627451,1082236.2705882352,1173865.219607843,297383.2823529412
